#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2015 05 12 19 50 290  7.0  9.0   1.8     8   5.7 324 1012.2  11.8  13.2    MM   MM +0.3    MM
2015 05 12 18 50 310  8.0  9.0   1.8     8   6.0 330 1011.9  11.7  13.3    MM   MM +0.0    MM
2015 05 12 17 50 310  8.0  9.0   1.9     8   5.9 324 1011.9  11.9  13.4    MM   MM -0.3    MM
2015 05 12 16 50 310  7.0  9.0   1.9     8   6.1 337 1011.9  11.3  13.3    MM   MM -0.4    MM
2015 05 12 15 50 310  7.0  8.0   2.0     8   6.0 309 1012.1  11.3  13.2    MM   MM -0.3    MM
2015 05 12 14 50 300  7.0  8.0   1.9     8   5.6 313 1012.2  11.8  13.3    MM   MM -0.4    MM
2015 05 12 13 50 310  8.0  9.0   2.0     8   5.7 322 1012.3  11.7  13.3    MM   MM -0.5    MM
2015 05 12 12 50 320  8.0 10.0   2.1     8   5.8 322 1012.4  12.1  13.2    MM   MM -0.6    MM
2015 05 12 11 50 330  8.0 10.0   2.2     7   5.8 321 1012.6  12.0  13.1    MM   MM -0.6    MM
2015 05 12 10 50 330  7.0  9.0   2.2     8   5.9 330 1012.8  12.2  13.1    MM   MM -0.7    MM
2015 05 12 09 50 330  8.0 10.0   2.2     8   6.0 326 1013.0  12.3  13.1    MM   MM -1.0    MM
2015 05 12 08 50 320  8.0 10.0   2.2     7   5.9 321 1013.2  12.4  13.1    MM   MM -1.4    MM
2015 05 12 07 50 330  8.0 10.0   2.1     8   6.0 336 1013.5  12.4  13.3    MM   MM -1.2    MM
2015 05 12 06 50 340  7.0  9.0   1.9     8   5.8 331 1014.0  12.1  13.5    MM   MM -0.8    MM
2015 05 12 05 50 350  4.0  6.0   1.9     8   5.9 322 1014.6  11.2  13.5    MM   MM +0.0    MM
2015 05 12 04 50 340  8.0 10.0   1.9     9   6.0 318 1014.7  12.2  13.6    MM   MM -0.3    MM
2015 05 12 03 50 350  7.0  8.0   1.7     7   5.7 323 1014.8  12.2  13.6    MM   MM -1.0    MM
2015 05 12 02 50 320  5.0  7.0   1.9     8   6.0 306 1014.8  12.1  13.6    MM   MM -1.2    MM
2015 05 12 01 50 330  7.0  9.0   1.6     7   5.5 319 1015.0  12.2  13.7    MM   MM -1.4    MM
2015 05 12 00 50 340  7.0  8.0   1.7     9   5.7 304 1015.8  11.6  13.6    MM   MM -1.1    MM
2015 05 11 23 50 330  7.0  8.0   1.6    10   5.9 298 1016.0  12.7  13.6    MM   MM -1.1    MM
2015 05 11 22 50 340  7.0  8.0   1.7    10   5.6 311 1016.4  12.5  13.5    MM   MM -0.9    MM
2015 05 11 21 50 350  7.0  8.0   1.6     7   5.6 326 1016.9  12.3  13.4    MM   MM -0.7    MM
2015 05 11 20 50 340  7.0  8.0   1.6    10   5.9 295 1017.1  12.3  13.5    MM   MM -0.7    MM
2015 05 11 19 50 340  7.0  8.0   1.6    10   5.6 307 1017.3  12.0  13.4    MM   MM -0.8    MM
2015 05 11 18 50 340  8.0 10.0   1.5    10   5.5 298 1017.6  11.7  13.2    MM   MM -0.6    MM
2015 05 11 17 50 320  8.0 10.0   1.5     6   5.4 335 1017.8  12.0  13.1    MM   MM -0.5    MM
2015 05 11 16 50 340  7.0  8.0   1.6    10   5.1 298 1018.1  12.1  13.1    MM   MM +0.0    MM
2015 05 11 15 50 360  7.0  9.0   1.7    10   5.4 283 1018.2  12.3  13.0    MM   MM +0.0    MM
2015 05 11 14 50  10  7.0  9.0   1.7    10   5.3 291 1018.3  12.3  13.0    MM   MM +0.0    MM
2015 05 11 13 50  10  8.0  9.0   1.7    10   5.6 297 1018.1  12.3  13.0    MM   MM -0.7    MM
2015 05 11 12 50 360  8.0 10.0   1.7     9   5.7 289 1018.3  12.3  12.9    MM   MM -0.6    MM
2015 05 11 11 50 360  8.0  9.0   1.7    10   5.6 291 1018.5  12.3  12.9    MM   MM -0.8    MM
2015 05 11 10 50 360  8.0  9.0   1.7    10   5.7 307 1018.8  12.4  13.1    MM   MM -0.9    MM
