#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2015 05 12 19 50 320  6.0  7.0   1.7     9   5.9 309 1011.2  11.1  12.7    MM   MM +0.0    MM
2015 05 12 18 50 320  6.0  7.0   1.8     8   6.2 312 1011.0  11.3  12.7    MM   MM +0.0    MM
2015 05 12 17 50 310  5.0  6.0   1.7     8   5.9 323 1011.1  11.2  12.7    MM   MM +0.0    MM
2015 05 12 16 50 320  6.0  7.0   1.8     8   5.9 302 1011.0  11.1  12.6    MM   MM -0.3    MM
2015 05 12 15 50 330  7.0  8.0   1.9     8   5.7 312 1011.1  11.2  12.7    MM   MM +0.0    MM
2015 05 12 14 50 330  6.0  7.0   1.9     8   5.8 322 1011.3  11.2  12.6    MM   MM +0.0    MM
2015 05 12 13 50 330  6.0  8.0   2.0     8   5.7 313 1011.3  11.1  12.7    MM   MM -0.4    MM
2015 05 12 12 50 320  8.0 10.0   2.0     8   5.7 317 1011.3  11.2  12.6    MM   MM -0.7    MM
2015 05 12 11 50 330  8.0 10.0   2.2     8   5.9 316 1011.5  11.7  12.6    MM   MM -0.7    MM
2015 05 12 10 50 330  7.0  9.0   2.0     8   6.0 314 1011.7  12.0  12.6    MM   MM -1.0    MM
2015 05 12 09 50 330  8.0 10.0   2.1     8   6.3 321 1012.0  12.0  12.6    MM   MM -1.5    MM
2015 05 12 08 50 330  7.0  9.0   1.7     9   6.2 305 1012.2  11.9  12.6    MM   MM -1.5    MM
2015 05 12 07 50 310  6.0  7.0   1.8     8   6.2 325 1012.7  11.8  12.6    MM   MM -0.8    MM
2015 05 12 06 50 320  5.0  6.0   1.9     8   6.1 318 1013.5  11.6  12.6    MM   MM -0.4    MM
2015 05 12 05 50 320  6.0  7.0   1.9     8   5.8 320 1013.7  11.7  12.6    MM   MM -0.4    MM
2015 05 12 04 50 310  7.0  9.0   1.8     8   5.5 313 1013.5  11.8  12.6    MM   MM -0.9    MM
2015 05 12 03 50 320  7.0  9.0   1.9     8   5.6 322 1013.9  11.5  12.6    MM   MM -1.3    MM
2015 05 12 02 50 310  8.0  9.0   2.1     8   5.7 315 1014.1  11.6  12.6    MM   MM -1.6    MM
2015 05 12 01 50 300  9.0 10.0   2.1     8   5.8 319 1014.4  11.5  12.7    MM   MM -1.9    MM
2015 05 12 00 50 300  8.0  9.0   1.8     9   5.8 308 1015.2  11.4  12.7    MM   MM -1.7    MM
2015 05 11 23 50 310  7.0  8.0   1.8     9   6.0 306 1015.7  11.6  12.7    MM   MM -1.3    MM
2015 05 11 22 50 310  6.0  7.0   1.9     8   6.1 309 1016.3  11.1  12.7    MM   MM -0.9    MM
2015 05 11 21 50 320  7.0  8.0   1.9     9   5.9 295 1016.9  11.4  12.5    MM   MM -0.9    MM
2015 05 11 20 50 310  7.0  8.0   1.7     7   5.8 318 1017.0  11.6  12.5    MM   MM -1.0    MM
2015 05 11 19 50 320  7.0  8.0   1.6    10   5.6 284 1017.2  11.7  12.6    MM   MM -1.1    MM
2015 05 11 18 50 320  6.0  7.0   1.5     9   5.6 291 1017.8  11.8  12.6    MM   MM -0.6    MM
2015 05 11 17 50 330  6.0  7.0   1.7    10   6.4 298 1018.0  11.8  12.6    MM   MM -0.6    MM
2015 05 11 16 50 330  5.0  6.0   1.5    10   5.8 302 1018.3  11.7  12.6    MM   MM -0.4    MM
2015 05 11 15 50 320  6.0  7.0   1.5     9   5.8 282 1018.4  11.6  12.5    MM   MM -0.3    MM
2015 05 11 14 50 350  4.0  5.0   1.6    10   5.8 296 1018.6  11.0  12.4    MM   MM -0.4    MM
2015 05 11 13 50 330  7.0  9.0   1.7     9   5.4 282 1018.7  10.3  12.4    MM   MM -0.4    MM
2015 05 11 12 50 340  6.0  7.0   1.6     7   5.4 321 1018.7  11.7  12.4    MM   MM -0.6    MM
2015 05 11 11 50 330  7.0  8.0   1.6     9   5.4 288 1019.0  11.7  12.5    MM   MM -0.7    MM
2015 05 11 10 50 330  7.0  8.0   1.7    10   5.5 291 1019.1  11.7  12.5    MM   MM -0.7    MM
2015 05 11 09 50 330  7.0  8.0   1.7     9   5.5 284 1019.3  11.8  12.5    MM   MM -0.6    MM
2015 05 11 08 50 320  7.0  8.0   1.5    10   5.7 288 1019.7  11.9  12.5    MM   MM -0.7    MM
2015 05 11 07 50 320  6.0  7.0   1.5    10   5.5 287 1019.8  11.9  12.4    MM   MM -0.5    MM
